Date,Time,AirQuality,CO,Humidity,Temperature
2021-12-01,13:07:40.612026,86,47,61.00,30.80
2021-12-01,13:07:40.628009,85,46,61.00,30.80
2021-12-01,13:07:42.083012,82,51,61.00,30.80
2021-12-01,13:07:43.601984,85,50,61.00,30.80
2021-12-01,13:07:45.105018,81,50,61.00,30.80
2021-12-01,13:07:46.639817,86,47,61.00,30.80
2021-12-01,13:07:48.142726,81,49,61.00,30.80
2021-12-01,13:07:49.661586,84,51,61.00,30.80
2021-12-01,13:07:51.164441,82,50,61.00,30.80
2021-12-01,13:07:52.683405,84,51,61.00,30.80
2021-12-01,13:07:54.186277,86,47,61.00,30.80
2021-12-01,13:07:55.721160,84,51,61.00,30.80
2021-12-01,13:07:57.224041,84,51,61.00,30.90
2021-12-01,13:07:58.743068,85,50,61.00,30.90
2021-12-01,13:08:00.245948,86,48,61.00,30.90
2021-12-01,13:08:01.765013,84,51,61.00,30.90
2021-12-01,13:08:03.267905,84,50,61.00,30.90
2021-12-01,13:08:04.802822,83,51,61.00,30.90
2021-12-01,13:08:06.305597,83,49,61.00,30.90
2021-12-01,13:08:07.824768,84,46,61.00,30.90
2021-12-01,13:08:09.327485,86,46,61.00,30.90
2021-12-01,13:08:10.862224,85,46,61.00,30.90
2021-12-01,13:08:12.349360,86,48,61.00,30.90
2021-12-01,13:08:13.884074,85,46,61.00,30.90
2021-12-01,13:08:15.387034,82,51,61.00,30.90
2021-12-01,13:08:16.906164,82,48,61.00,30.90
2021-12-01,13:08:18.408986,84,50,61.00,30.90
2021-12-01,13:08:19.943828,86,49,61.00,30.90
2021-12-01,13:08:21.430828,81,50,61.00,30.90
2021-12-01,13:08:22.965674,83,51,61.00,30.90
2021-12-01,13:08:24.468765,85,46,61.00,30.90
2021-12-01,13:08:25.987580,86,47,61.00,30.90
2021-12-01,13:08:27.490485,83,48,61.00,30.90
2021-12-01,13:08:29.025294,84,46,61.00,30.90
2021-12-01,13:08:30.528222,83,51,61.00,30.90
2021-12-01,13:08:32.047253,85,46,61.00,30.90
2021-12-01,13:08:33.550454,82,49,61.00,30.90
2021-12-01,13:08:35.069600,84,48,61.00,30.90
2021-12-01,13:08:36.572348,85,46,61.00,30.90
2021-12-01,13:08:38.107073,82,51,61.00,30.90
2021-12-01,13:08:39.610104,85,46,61.00,30.90
2021-12-01,13:08:41.129199,86,46,61.00,30.90
2021-12-01,13:08:42.632950,85,48,60.00,30.90
2021-12-01,13:08:44.151053,84,47,60.00,30.90
